movie_name,movie_id,production_companies_clean,production_budget
Mr. Holland's Opus,2054,"['Hollywood Pictures', 'The Charlie Mopic Company', 'PolyGram Filmed Entertainment', 'Interscope Communications']",0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,10607,"['Miramax Films', 'Island Pictures', 'Ivory Way Productions']",0
Two If by Sea,19760,"['Warner Bros.', 'Morgan Creek Productions']",0
Bio-Dome,9536,"['Metro-Goldwyn-Mayer (MGM)', 'Motion Picture Corporation of America (MPCA)', '3 Arts Entertainment', 'Weasel Productions']",15000000
Lawnmower Man 2: Beyond Cyberspace,11525,['New Line Cinema'],0
Two Bits,40628,['Miramax Films'],0
French Twist,4482,"['Renn Productions', 'Les Films Flam', 'TF1 Films Production', 'Canal+']",0
Friday,10634,['New Line Cinema'],3500000
From Dusk Till Dawn,755,"['A Band Apart', 'Dimension Films', 'Los Hooligans Productions', 'Miramax']",19000000
Fair Game,11859,"['Silver Pictures', 'Warner Bros.']",50000000
Kicking and Screaming,28387,"['Castleberg Productions', 'Sandollar Productions']",0
Les Miserables,48750,"['Les Films 13', 'Canal+', 'TF1']",0
Bed of Roses,20927,"['New Line Cinema', 'Juno Pix']",0
Big Bully,36929,"['Warner Bros.', 'Morgan Creek Productions']",15000000
Screamers,9102,"['The Movie Network (TMN)', 'Allegro Films', 'Fuji Eight Company Ltd.', 'Fries Film Group', 'Super Ecran', 'Triumph Films']",20000000
Nico Icon,124626,"['Zweites Deutsches Fernsehen (ZDF)', 'Ciak Filmproduktion', 'Bluehorse Films']",0
The Crossing Guard,27526,['Miramax Films'],0
The Juror,9623,['Columbia Pictures Corporation'],44000000
The White Balloon,46785,"['I.R.I.B. Channel 2', 'Ferdos Films']",0
Things to Do in Denver When You're Dead,400,['Miramax Films'],8000000
Antonia's Line,880,"['Bergen Film', 'Bard Entertainments', 'NPS Televisie']",900000
Once Upon a Time... When We Were Colored,146599,"['BET Pictures', 'United Image Entertainme']",0
Last Summer in the Hamptons,188588,[],0
Angels and Insects,8447,"['Playhouse International Pictures', 'The Samuel Goldwyn Company']",0
White Squall,10534,"['Hollywood Pictures', 'Largo Entertainment', 'Scott Free Productions']",38000000
Dunston Checks In,17414,"['Twentieth Century Fox Film Corporation', 'Joe Wizan/Todd Black']",16000000
Black Sheep,13997,['Paramount Pictures'],0
Nick of Time,2086,['Paramount Pictures'],8169363
The Journey of August King,61548,"['Miramax Films', 'Addis Wechsler Pictures']",0
Mary Reilly,9095,"['TriStar Pictures', 'NFH Productions']",47000000
Vampire in Brooklyn,12158,['Paramount Pictures'],14000000
Beautiful Girls,9283,"['Miramax Films', 'Woods Entertainment']",0
Broken Arrow,9208,"['Twentieth Century Fox Film Corporation', 'WCG Entertainment Productions', 'Mark Gordon Productions']",50000000
A Midwinter's Tale,40154,"['Castle Rock Entertainment', 'Midwinter Films']",0
La Haine,406,"['Egg Pictures', 'PolyGram Filmed Entertainment', 'Canal+', 'Les Productions Lazennec', 'La Sept Cin??ma', 'Kasso Inc. Productions', 'Studio Image', 'Cofinergie 6']",3000000
Shopping,45549,['Channel Four Films'],0
Heidi Fleiss: Hollywood Madam,63076,"['British Broadcasting Corporation (BBC)', 'Westdeutscher Rundfunk (WDR)', 'Canadian Broadcasting Corporation (CBC)', 'Cinemax Reel Life', 'InPictures', 'Lafayette Films']",0
City Hall,11062,"['Columbia Pictures', 'Castle Rock Entertainment']",0
Bottle Rocket,13685,"['Gracie Films', 'Columbia Pictures Corporation']",7000000
Mr. Wrong,47475,['Touchstone Pictures'],0
Unforgettable,2045,"['Metro-Goldwyn-Mayer (MGM)', 'Dino De Laurentiis Company', 'Spelling Films']",18000000
Happy Gilmore,9614,"['Universal Pictures', 'Brillstein-Grey Entertainment', 'Robert Simonds Productions']",12000000
The Bridges of Madison County,688,"['Amblin Entertainment', 'Malpaso Productions', 'Warner Bros.']",24000000
Nobody Loves Me,11907,[],0
Muppet Treasure Island,10874,"['Walt Disney Pictures', 'Jim Henson Productions', 'Jim Henson Company, The']",0
Catwalk,89333,[],0
Headless Body in Topless Bar,96357,[],0
Braveheart,197,"['Icon Entertainment International', 'The Ladd Company', 'B.H. Finance C.V.']",72000000
Taxi Driver,103,"['Columbia Pictures Corporation', 'Italo/Judeo Productions', 'Bill/Phillips']",1300000
Rumble in the Bronx,33542,"['New Line Cinema', 'Golden Harvest Company']",7500000
Before and After,43566,"['Caravan Pictures', 'Hollywood Pictures']",35000000
Margaret's Museum,71754,"['T??l??film Canada', 'Skyline Films', 'Malofilm', 'Soci??t?? de D??veloppement des Entreprises Culturelles (SODEC)', 'British Screen Productions', 'National Film Board of Canada (NFB)', 'imX Communications', 'Glace Bay Pictures', 'Cin?? T??l?? Action', 'Nova Scotia Film Development Corporation', 'Ranfilm']",0
Happiness Is in the Field,43612,"['France 2 Cin??ma', 'France 3 Cin??ma', 'StudioCanal', 'Les Productions du Champ Poirier', 'T??l??ma Productions']",13365000
Anne Frank Remembered,51352,[],0
The Young Poisoner's Handbook,16934,['Bavaria Film and Television Fund'],0
If Lucy Fell,10324,"['TriStar Pictures', 'Motion Picture Corporation of America (MPCA)']",0
Steal Big Steal Little,78406,['Savoy Pictures'],25000000
Race the Sun,55731,['TriStar Pictures'],0
The Boys of St. Vincent,32119,[],0
Boomerang,11066,['Paramount Pictures'],40000000
Chungking Express,11104,"['Jet Tone Production', 'The Criterion Collection']",0
The Star Maker,37975,['Cecchi Gori Group Tiger Cinematografica'],0
Flirting with Disaster,2074,['Miramax Films'],7000000
The Neverending Story III: Escape from Fantasia,27793,"['Studio Babelsberg', 'Dieter Geissler Filmproduktion', 'Cinevox Filmproduktion GmbH', 'Warner Bros.', 'Miramax']",17000000
The Silences of the Palace,44284,"['Canal Horizons', 'Mat Films', 'Cin??t??l??films']",0
Jupiter's Wife,290157,[],0
Pie in the Sky,110972,[],0
Angela,32622,[],0
Frankie Starlight,73067,"['Fine Line Features', 'Channel Four Films', 'B??rd Scann?\xadn na h??ireann', 'Canal+']",0
Jade,11863,['Paramount Pictures'],50000000
Nueba Yol,55475,"['Cigua Films', ""D'Pelicula""]",0
Sonic Outlaws,124636,[],0
Down Periscope,9101,['Twentieth Century Fox Film Corporation'],0
From the Journals of Jean Seberg,123360,['Couch Potatoe Productions'],0
Man of the Year,5757,[],0
The Neon Bible,39428,"['Channel Four Films', 'Academy', 'Mayfair Films', 'Iberoamerica Films']",0
Target,124639,[],0
Up Close & Personal,9302,"['Cinergi Pictures Entertainment', 'Touchstone Pictures']",60000000
The Birdcage,11000,['United Artists'],31000000
Virgin Mary,249882,[],0
The Brothers McMullen,16388,['Fox Searchlight Pictures'],0
Bad Boys,9737,"['Columbia Pictures', 'Don Simpson/Jerry Bruckheimer Films']",19000000
The Amazing Panda Adventure,30765,['Warner Bros.'],0
The Basketball Diaries,10474,"['New Line Cinema', 'Island Pictures']",0
An Awfully Big Adventure,22279,"['Fine Line Features', 'BBC', 'British Screen Productions', 'Portman Productions']",4000000
Amateur,30157,"['Channel Four Films', 'Zenith Entertainment', 'American Playhouse', 'Union G??n??rale Cin??matographique (UGC)', 'La Sept Cin??ma', 'True Fiction Pictures']",0
Apollo 13,568,"['Imagine Entertainment', 'Universal Pictures']",52000000
Rob Roy,11780,"['United Artists', 'Talisman Productions']",28000000
The Addiction,34996,"['October Films', 'Guild', 'Fastnet Films']",0
Batman Forever,414,"['Warner Bros.', 'Polygram Filmed Entertainment']",100000000
Belle de Jour,649,"['Paris Films Productions', 'Five Films', 'Robert et Raymond Hakim']",0
Beyond Rangoon,1873,"['Columbia Pictures', 'Castle Rock Entertainment']",0
Blue in the Face,5894,"['Miramax Films', 'InterAL']",2000000
Canadian Bacon,1775,['PolyGram Filmed Entertainment'],11000000
Casper,8839,"['Universal Pictures', 'Amblin Entertainment', 'The Harvey Entertainment Company']",50000000
Clockers,20649,"['Universal Pictures', '40 Acres & A Mule Filmworks']",25000000
Congo,10329,"['Paramount Pictures', 'Kennedy/Marshall Company, The']",50000000
Crimson Tide,8963,"['Hollywood Pictures', 'Don Simpson/Jerry Bruckheimer Films']",53000000
Crumb,26564,['Superior Pictures'],0
Desperado,8068,"['Columbia Pictures', 'Los Hooligans Productions']",7000000
Devil in a Blue Dress,8512,"['TriStar Pictures', 'Mundy Lane Entertainment']",27000000
Die Hard: With a Vengeance,1572,"['Twentieth Century Fox Film Corporation', 'Cinergi Pictures Entertainment']",90000000
The Doom Generation,13552,"['Why Not Productions', 'Desperate Pictures', 'Blurco', 'The Teen Angst Movie Company']",0
Feast of July,259209,"['Touchstone Pictures', 'Merchant Ivory Productions']",0
First Knight,6520,"['Columbia Pictures Corporation', 'First Knight Productions']",55000000
Free Willy 2 - The Adventure Home,9073,"['Regency Enterprises', 'Alcor Films', 'Canal+', 'Donner/Shuler-Donner Productions', 'Warner Bros.']",0
Hackers,10428,"['United Artists', 'Suftley']",20000000
Jeffrey,17447,"['The Booking Office', ""Workin' Man Films""]",0
Johnny Mnemonic,9886,"['TriStar Pictures', 'Alliance Communications Corporation']",25000000
Judge Dredd,9482,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']",90000000
Jury Duty,19326,['TriStar Pictures'],0
Kids,9344,['Miramax Films'],1500000
Living in Oblivion,9071,"['JDI productions', 'Lemon Sky Productions']",500000
Lord of Illusions,8973,"['United Artists', 'Seraphim Films']",0
Love & Human Remains,15730,"['The Ontario Film Development Corporation', 'First Choice Films', 'Atlantis Films', 'Telefilm Canada', 'Max Films Productions', 'Super ??cran', 'Soci??t?? G??n??rale des Industries Culturelles du Qu??bec (SOGIC)']",0
Mad Love,47608,['Touchstone Pictures'],0
Mallrats,2293,"['Universal Pictures', 'Gramercy Pictures', 'Alphaville Films', 'View Askew Productions']",6000000
Mighty Morphin Power Rangers: The Movie,9070,"['Twentieth Century Fox Film Corporation', 'Saban Entertainment', 'Toei Company']",15000000
Moonlight and Valentino,68274,"['PolyGram Filmed Entertainment', 'Working Title Films']",0
Mute Witness,48787,"['Comet Film Produktion GmbH', 'Avrora Media', 'Cobblestone Pictures']",2
Nadja,34574,['Kino Link Company'],0
The Net,1642,['Columbia Pictures'],22000000
Nine Months,11472,"['Twentieth Century Fox Film Corporation', '1492 Pictures']",0
Party Girl,36196,['Party Productions'],150000
The Prophecy,11980,['Dimension Films'],8
Reckless,58372,"['Playhouse International Pictures', 'American Playhouse', 'Samuel Goldwyn Company, The']",0
Safe,32646,"['Killer Films', 'American Playhouse', 'Kardana Films', 'Chemical Films']",0
The Scarlet Letter,10533,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']",50000000
The Show,56088,[],0
Showgirls,10802,"['United Artists', 'Le Studio Canal+', 'Carolco Pictures']",45000000
Smoke,10149,['Miramax Films'],7000000
Something to Talk About,18402,"['Spring Creek Productions', 'Warner Bros.', 'Hawn / Sylbert Movie Company']",0
Species,9348,['Metro-Goldwyn-Mayer (MGM)'],35000000
The Stars Fell on Henrietta,139408,"['Malpaso Productions', ""Butcher's Run Films"", 'Warner Bros.']",0
Strange Days,281,['Lightstorm Entertainment'],42000000
The Umbrellas of Cherbourg,5967,"['Beta Film', 'Madeleine Films', 'Parc Film']",0
The Tie That Binds,79593,"['Hollywood Pictures', 'PolyGram Filmed Entertainment', 'Interscope Communications']",14000000
Three Wishes,47939,['Savoy Pictures'],0
Total Eclipse,36834,"['Soci??t?? Fran??aise de Production (SFP)', 'FIT Productions', 'Portman Productions']",0
"To Wong Foo, Thanks for Everything! Julie Newmar",9090,"['Universal Pictures', 'Amblin Entertainment']",0
Under Siege 2: Dark Territory,3512,"['Regency Enterprises', 'Warner Bros.', 'Seagal/Nasso Productions', 'Victor Company of Japan (JVC)', 'Cutting Edge Films']",60000000
Unstrung Heroes,52856,['Hollywood Pictures'],0
Unzipped,77350,[],0
A Walk in the Clouds,9560,"['Twentieth Century Fox Film Corporation', 'Zucker Brothers Productions']",20000000
Waterworld,9804,"['Universal Pictures', 'Gordon Company', 'Davis Entertainment', 'Licht/Mueller Film Corporation']",175000000
White Man's Burden,31611,"['HBO', 'A BandApart', 'Rysher Entertainment']",8000000
Wild Bill,65796,['United Artists'],30000000
The Browning Version,49805,['Paramount Pictures'],0
Bushwhacked,26258,['Twentieth Century Fox Film Corporation'],0
Burnt by the Sun,50797,"['Canal+', 'Studio Trite', 'Cam??ra One']",2800000
Before the Rain,19155,"['PolyGram Audiovisuel', 'British Screen Productions']",0
Before Sunrise,76,"['Detour Film Production', 'Warner Bros.']",2500000
Billy Madison,11017,['Jack Giarraputo Productions'],10000000
The Babysitter,37141,['Spelling Films International'],0
Boys on the Side,9382,"['Regency Enterprises', 'Alcor Films', 'Canal+', 'New Regency Pictures', 'Hera Productions']",21000000
The Cure,6715,"['Universal Pictures', 'Island World']",0
Castle Freak,18256,['Full Moon Entertainment'],0
Circle of Friends,22625,"['The Rank Organisation', 'B??rd Scann?\xadn na h??ireann', 'Lantana', 'Price Entertainment']",0
Clerks,2292,"['Miramax Films', 'View Askew Productions']",27000
Don Juan DeMarco,1909,"['New Line Cinema', 'American Zoetrope']",25000000
Disclosure,8984,"['Warner Bros.', 'Baltimore Pictures']",55000000
Dream Man,61813,"['Keystone Pictures', 'Dream Man Productions Inc']",0
Drop Zone,4954,['Paramount Pictures'],45000000
Destiny Turns on the Radio,62488,"['Savoy Pictures', 'Rysher Entertainment']",0
Death and the Maiden,10531,"['Fine Line Features', 'Channel Four Films', 'Capitol Films', 'TF1 Films Production', 'Canal+', 'Flach Film', ""Les Films de l'Astre""]",0
Dolores Claiborne,11929,"['Castle Rock Entertainment', 'Columbia Pictures Corporation']",0
Dumb and Dumber,8467,"['New Line Cinema', 'Motion Picture Corporation of America (MPCA)']",16000000
Eat Drink Man Woman,10451,"['Ang Lee Productions', 'Good Machine', 'Central Motion Pictures']",0
Exotica,20156,"['Miramax Films', 'Alliance Entertainment', 'Ego Film Arts']",0
Exit to Eden,18395,['Savoy Pictures'],0
Ed Wood,522,['Touchstone Pictures'],18000000
French Kiss,397,"['Twentieth Century Fox Film Corporation', 'PolyGram Filmed Entertainment', 'Working Title Films', 'Prufrock Pictures']",0
Forget Paris,10525,"['Columbia Pictures', 'Castle Rock Entertainment']",0
Far from Home: The Adventures of Yellow Dog,27985,['Twentieth Century Fox Film Corporation'],0
A Goofy Movie,15789,['Walt Disney Pictures'],0
Hideaway,27303,['TriStar Pictures'],15000000
Fluke,21183,['Metro-Goldwyn-Mayer'],0
Farinelli,10954,"['Italian International Film', 'St??phan Films', 'MG']",0
Gordy,47867,[],0
Gumby: The Movie,43475,[],0
The Glass Shield,72031,['Miramax Films'],0
Hoop Dreams,14275,"['Fine Line Features', 'Kartemquin Films']",700000
Heavenly Creatures,1024,"['WingNut Films', 'Miramax Films', 'New Zealand Film Commission', 'Fontana Productions']",5000000
Houseguest,17207,"['Caravan Pictures', 'Hollywood Pictures']",10500000
Immortal Beloved,13701,"['Columbia Pictures', 'Majestic Films International', 'Icon Entertainment International']",120
Heavyweights,14819,"['Walt Disney Pictures', 'Caravan Pictures']",0
The Hunted,32631,"['Universal Pictures', 'Bregman/Baer Productions']",0
I.Q.,11777,['Paramount Pictures'],25000000
Interview with the Vampire,628,['Geffen Pictures'],60000000
Jefferson in Paris,87729,"['Merchant Ivory Productions', 'Touchstone Pictures']",14000000
The Jerky Boys,18713,"['Caravan Pictures', 'Touchstone Pictures']",0
Junior,6280,"['Universal Pictures', 'Northern Lights Entertainment']",60000000
Just Cause,9061,"['Fountainbridge Films', 'Warner Bros.', 'Lee Rich Productions']",0
A Kid in King Arthur's Court,37108,"['Walt Disney Pictures', 'Trimark Pictures']",0
Kiss of Death,6071,['Twentieth Century Fox Film Corporation'],40000000
Star Wars,11,"['Lucasfilm', 'Twentieth Century Fox Film Corporation']",11000000
Little Women,9587,['Columbia Pictures'],18000000
A Little Princess,19101,['Warner Bros.'],17000000
Ladybird Ladybird,49980,"['Channel Four Films', 'Parallax Pictures']",0
L'Enfer,17961,['MK2 Productions'],10000000
Like Water for Chocolate,18183,"['Aviacsa', 'Cinevista']",2000000
Legends of the Fall,4476,"['Bedford Falls Productions', 'TriStar Pictures', 'Pangaea']",30000000
Major Payne,11008,['Universal Pictures'],0
Little Odessa,47504,"['Fine Line Features', 'New Line Cinema', 'Live Entertainment']",0
Mi Vida Loca,32325,"['Channel Four Films', 'Cineville', 'Home Box Office (HBO)', 'Showcase Entertaiment Inc.']",0
Love Affair,43742,['Warner Bros.'],60000000
Losing Isaiah,28313,['Paramount Pictures'],17000000
The Madness of King George,11318,"['Channel Four Films', 'Samuel Goldwyn Company', 'Close Call Films']",0
Mary Shelley's Frankenstein,3036,"['American Zoetrope', 'TriStar Pictures']",45000000
Man of the House,40490,['Walt Disney Pictures'],0
Mixed Nuts,24070,['TriStar Pictures'],15000000
Milk Money,8986,"['Paramount Pictures', 'The Kennedy/Marshall Company']",0
Miracle on 34th Street,10510,['Twentieth Century Fox Film Corporation'],0
Miami Rhapsody,17402,['Hollywood Pictures'],6
My Family,38722,"['American Zoetrope', 'American Playhouse', 'Majestic Films International', 'Newcomb Productions']",5500000
Murder in the First,8438,"['Wolper Organization', 'Warner Bros.']",0
Nobody's Fool,11593,"['Paramount Pictures', 'Capella International', 'Cinehaus']",0
Nell,1945,"['Twentieth Century Fox Film Corporation', 'Egg Pictures', 'PolyGram Filmed Entertainment']",31000000
New Jersey Drive,39310,['40 Acres & A Mule Filmworks'],0
New York Cop,109560,"['TOEI', 'Distant Justice Joint Venture']",0
Beyond Bedlam,56428,['Metrodome Films'],4800000
Nemesis 2 - Nebula,63105,"['Filmwerks', 'Imperial Entertainment']",0
Nina Takes a Lover,131957,['Triumph Films'],0
Natural Born Killers,241,"['Regency Enterprises', 'Alcor Films', 'Ixtlan', 'Warner Bros.', 'New Regency Pictures', 'J D Productions']",34000000
Only You,9058,['TriStar Pictures'],0
Once Were Warriors,527,"['Avalon Studios', 'New Zealand Film Commission', 'New Zealand On Air']",0
Poison Ivy II: Lily,18220,"['New Line Cinema', 'CineTel Pictures', 'MG Entertainment']",0
Outbreak,6950,"['Kopelson Entertainment', 'Punch Productions', 'Warner Bros.', 'Arnold Kopelson Productions']",50000000
Leon: The Professional,101,"['Columbia Pictures', 'Gaumont']",16000000
The Perez Family,63020,"['Samuel Goldwyn Company, The']",11000000
A Pyromaniac's Love Story,2307,['Hollywood Pictures'],0
Pulp Fiction,680,"['Miramax Films', 'A Band Apart', 'Jersey Films']",8000000
Panther,41478,"['Polygram Filmed Entertainment', 'Gramercy Pictures (I)', 'MVP Films']",0
Pushing Hands,25296,['Ang Lee Productions'],400000
Priest,40156,"['BBC Films', 'PolyGram Filmed Entertainment', 'Miramax']",0
Quiz Show,11450,"['Wildwood Enterprises', 'Hollywood Pictures', 'Baltimore Pictures']",0
Picture Bride,30304,"['Cecile Company', 'Thousand Cranes Filmworks']",0
Queen Margot,10452,"['Renn Productions', 'Eurimages', 'Canal+', 'ARD/Degeto Film GmbH', 'D.A. Films', 'France2 Cin??ma', 'WMG Film', 'Centre National de la Cin??matographie (CNC)', 'N.E.F. Filmproduktion und Vertriebs GmbH', 'Miramax', 'RCS Films & TV']",0
The Quick and the Dead,12106,['TriStar Pictures'],32000000
Roommates,161495,"['Hollywood Pictures', 'Interscope Communications', 'Nomura Babcock & Brown']",22000000
Pr?¦t-?ÿ-Porter,3586,['Miramax Films'],15000000
Three Colors: Red,110,"['Zesp??\x8f? Filmowy TOR', 'Le Studio Canal+', 'France 3 Cin??ma', 'T??l??vision Suisse-Romande']",0
Three Colors: Blue,108,"['France 3 Cin??ma', 'CED Productions']",0
Three Colors: White,109,"['Le Studio Canal+', 'France 3 Cin??ma', 'Eurimages']",0
"Red Firecracker, Green Firecracker",159185,[],0
Rent-a-Kid,36357,[],0
Relative Fear,92769,"['Allegro Films', 'Norstar Entertainment', 'west wind entertainment']",0
Stuart Saves His Family,28033,['Paramount Pictures'],0
The Swan Princess,22586,['Rich Animation Studios'],35000000
The Secret of Roan Inish,14334,"['Jones Entertainment Group', 'Skerry Productions']",0
The Specialist,2636,"['Jerry Weintraub Productions', 'Warner Bros.', 'Iguana Producciones']",45000000
Stargate,2164,"['Centropolis Entertainment', 'StudioCanal', 'Carolco Entertainment']",55000000
The Santa Clause,11395,"['Walt Disney Pictures', 'Hollywood Pictures']",22000000
The Shawshank Redemption,278,"['Castle Rock Entertainment', 'Warner Bros.']",25000000
Shallow Grave,9905,"['Channel Four Films', 'Figment Films', 'The Glasgow Film Fund', 'PolyGram Filmed Entertainment']",0
Suture,87078,['Kino Korsakoff'],0
Strawberry and Chocolate,12527,"['Miramax Films', 'Tabasco films', 'Instituto Mexicano de Cinematograf??a (IMCINE)', 'TeleMadrid']",0
Swimming with Sharks,20306,"['Cineville', 'Trimark Pictures']",0
The Sum of Us,36614,['Samuel Goldwyn Company'],32
Senior Trip,27993,"['New Line Cinema', '1992 Number Four Limited Partnership', 'MHA']",0
To Live,31439,"['Shanghai Film Studios', 'Era International Ltd']",0
Tank Girl,9067,['Trilogy Entertainment Group'],25000000
Tales from the Crypt: Demon Knight,9059,"['Universal Pictures', 'Tales From The Crypt Holdings']",0
Star Trek: Generations,193,['Paramount Pictures'],38000000
Tales from the Hood,25066,"['40 Acres & A Mule Filmworks', 'Savoy Pictures']",6000000
Tom & Viv,46797,[],0
Village of the Damned,12122,['Universal Pictures'],0
Tommy Boy,11381,['Paramount Pictures'],0
Vanya on 42nd Street,32636,['Sony Pictures Classics'],0
The Underneath,36141,['Populist Pictures'],6500000
The Walking Dead,95963,"['Savoy Pictures', 'Price Entertainment', 'Jackson/McHenry Company,The']",0
What's Eating Gilbert Grape,1587,['Paramount Pictures'],11000000
Virtuosity,9271,['Paramount Pictures'],30000000
While You Were Sleeping,2064,"['Caravan Pictures', 'Hollywood Pictures']",17000000
The War,19855,['Universal Pictures'],0
Double Happiness,60855,"['Fine Line Features', 'T??l??film Canada', 'First Generation Films', 'National Film Board of Canada (NFB)', 'British Columbia Film Commission']",0
Muriel's Wedding,236,"['Ciby 2000', 'Film Victoria', 'House & Moorhouse Films']",3000000
The Baby-Sitters Club,48287,"['Columbia Pictures Corporation', 'Beacon Pictures']",0
Ace Ventura: Pet Detective,3049,"['Warner Bros.', 'Morgan Creek Productions']",15000000
